RUN	computerdatabase.BasicSimulation	basicsimulation	1561394106361	 	3.1.2
USER	Scenario Name	1	START	1561394107955	1561394107955
REQUEST	1		request_1	1561394108014	1561394108075	OK	 
REQUEST	1		request_1 Redirect 1	1561394108092	1561394108131	OK	 
REQUEST	1		request_2	1561394115163	1561394115238	OK	 
REQUEST	1		request_3	1561394117238	1561394117329	OK	 
REQUEST	1		request_4	1561394120327	1561394120355	OK	 
REQUEST	1		request_4 Redirect 1	1561394120356	1561394120389	OK	 
REQUEST	1		request_5	1561394122386	1561394122426	OK	 
REQUEST	1		request_6	1561394123087	1561394123126	OK	 
REQUEST	1		request_7	1561394123757	1561394123816	OK	 
REQUEST	1		request_8	1561394124566	1561394124603	OK	 
REQUEST	1		request_9	1561394129584	1561394129654	OK	 
REQUEST	1		request_10	1561394130662	1561394130698	OK	 
REQUEST	1		request_10 Redirect 1	1561394130706	1561394130744	OK	 
USER	Scenario Name	1	END	1561394107955	1561394130750
