RUN	RecordedSimulationKakuro	recordedsimulationkakuro	1561534927909	 	3.1.2
USER	RecordedSimulationKakuro	99	START	1561534929538	1561534929538
USER	RecordedSimulationKakuro	100	START	1561534929539	1561534929539
USER	RecordedSimulationKakuro	101	START	1561534929540	1561534929540
USER	RecordedSimulationKakuro	102	START	1561534929541	1561534929541
USER	RecordedSimulationKakuro	103	START	1561534929543	1561534929543
USER	RecordedSimulationKakuro	105	START	1561534929563	1561534929563
USER	RecordedSimulationKakuro	104	START	1561534929563	1561534929563
USER	RecordedSimulationKakuro	106	START	1561534929598	1561534929598
USER	RecordedSimulationKakuro	107	START	1561534929603	1561534929603
USER	RecordedSimulationKakuro	108	START	1561534929609	1561534929609
USER	RecordedSimulationKakuro	109	START	1561534929612	1561534929612
USER	RecordedSimulationKakuro	110	START	1561534929613	1561534929613
USER	RecordedSimulationKakuro	111	START	1561534929629	1561534929629
USER	RecordedSimulationKakuro	112	START	1561534929634	1561534929634
USER	RecordedSimulationKakuro	113	START	1561534929640	1561534929640
USER	RecordedSimulationKakuro	114	START	1561534929657	1561534929657
USER	RecordedSimulationKakuro	115	START	1561534929662	1561534929662
USER	RecordedSimulationKakuro	116	START	1561534929674	1561534929674
USER	RecordedSimulationKakuro	117	START	1561534929682	1561534929682
USER	RecordedSimulationKakuro	119	START	1561534929709	1561534929709
USER	RecordedSimulationKakuro	118	START	1561534929709	1561534929709
USER	RecordedSimulationKakuro	120	START	1561534929714	1561534929714
USER	RecordedSimulationKakuro	121	START	1561534929730	1561534929730
USER	RecordedSimulationKakuro	122	START	1561534929737	1561534929737
USER	RecordedSimulationKakuro	123	START	1561534929756	1561534929756
USER	RecordedSimulationKakuro	124	START	1561534929758	1561534929758
USER	RecordedSimulationKakuro	125	START	1561534929764	1561534929764
USER	RecordedSimulationKakuro	126	START	1561534929771	1561534929771
USER	RecordedSimulationKakuro	127	START	1561534929781	1561534929781
USER	RecordedSimulationKakuro	128	START	1561534929797	1561534929797
USER	RecordedSimulationKakuro	129	START	1561534929801	1561534929801
USER	RecordedSimulationKakuro	130	START	1561534929812	1561534929812
USER	RecordedSimulationKakuro	131	START	1561534929828	1561534929828
USER	RecordedSimulationKakuro	132	START	1561534929830	1561534929830
USER	RecordedSimulationKakuro	133	START	1561534929843	1561534929843
USER	RecordedSimulationKakuro	134	START	1561534929859	1561534929859
USER	RecordedSimulationKakuro	135	START	1561534929860	1561534929860
USER	RecordedSimulationKakuro	136	START	1561534929875	1561534929875
USER	RecordedSimulationKakuro	138	START	1561534929890	1561534929890
USER	RecordedSimulationKakuro	137	START	1561534929890	1561534929890
USER	RecordedSimulationKakuro	139	START	1561534929906	1561534929906
USER	RecordedSimulationKakuro	140	START	1561534929910	1561534929910
USER	RecordedSimulationKakuro	141	START	1561534929921	1561534929921
USER	RecordedSimulationKakuro	142	START	1561534929937	1561534929937
USER	RecordedSimulationKakuro	143	START	1561534929940	1561534929940
USER	RecordedSimulationKakuro	144	START	1561534929953	1561534929953
USER	RecordedSimulationKakuro	145	START	1561534929970	1561534929970
USER	RecordedSimulationKakuro	146	START	1561534929973	1561534929973
USER	RecordedSimulationKakuro	147	START	1561534929985	1561534929985
USER	RecordedSimulationKakuro	148	START	1561534929991	1561534929991
USER	RecordedSimulationKakuro	149	START	1561534930027	1561534930027
USER	RecordedSimulationKakuro	150	START	1561534930027	1561534930027
USER	RecordedSimulationKakuro	151	START	1561534930028	1561534930028
USER	RecordedSimulationKakuro	152	START	1561534930032	1561534930032
USER	RecordedSimulationKakuro	153	START	1561534930097	1561534930097
USER	RecordedSimulationKakuro	154	START	1561534930103	1561534930103
USER	RecordedSimulationKakuro	155	START	1561534930108	1561534930108
USER	RecordedSimulationKakuro	156	START	1561534930118	1561534930118
USER	RecordedSimulationKakuro	157	START	1561534930121	1561534930121
USER	RecordedSimulationKakuro	158	START	1561534930121	1561534930121
USER	RecordedSimulationKakuro	159	START	1561534930121	1561534930121
USER	RecordedSimulationKakuro	160	START	1561534930122	1561534930122
USER	RecordedSimulationKakuro	161	START	1561534930122	1561534930122
REQUEST	27		kakuro	1561534928767	1561534930084	OK	 
REQUEST	14		kakuro	1561534928642	1561534930084	OK	 
USER	RecordedSimulationKakuro	162	START	1561534930142	1561534930142
REQUEST	12		kakuro	1561534928612	1561534930204	OK	 
USER	RecordedSimulationKakuro	163	START	1561534930208	1561534930208
USER	RecordedSimulationKakuro	164	START	1561534930208	1561534930208
USER	RecordedSimulationKakuro	165	START	1561534930210	1561534930210
USER	RecordedSimulationKakuro	166	START	1561534930243	1561534930243
USER	RecordedSimulationKakuro	167	START	1561534930244	1561534930244
USER	RecordedSimulationKakuro	168	START	1561534930257	1561534930257
USER	RecordedSimulationKakuro	169	START	1561534930257	1561534930257
USER	RecordedSimulationKakuro	171	START	1561534930267	1561534930267
USER	RecordedSimulationKakuro	170	START	1561534930267	1561534930267
USER	RecordedSimulationKakuro	172	START	1561534930268	1561534930268
USER	RecordedSimulationKakuro	173	START	1561534930268	1561534930268
USER	RecordedSimulationKakuro	174	START	1561534930268	1561534930268
USER	RecordedSimulationKakuro	175	START	1561534930275	1561534930275
USER	RecordedSimulationKakuro	176	START	1561534930275	1561534930275
USER	RecordedSimulationKakuro	177	START	1561534930292	1561534930292
USER	RecordedSimulationKakuro	178	START	1561534930292	1561534930292
REQUEST	6		kakuro	1561534928585	1561534930307	OK	 
REQUEST	22		kakuro	1561534928720	1561534930309	OK	 
REQUEST	30		kakuro	1561534928801	1561534930313	OK	 
USER	RecordedSimulationKakuro	179	START	1561534930324	1561534930324
REQUEST	3		kakuro	1561534928582	1561534930313	OK	 
REQUEST	20		kakuro	1561534928691	1561534930346	OK	 
REQUEST	4		kakuro	1561534928583	1561534930352	OK	 
USER	RecordedSimulationKakuro	180	START	1561534930356	1561534930356
REQUEST	19		kakuro	1561534928689	1561534930356	OK	 
USER	RecordedSimulationKakuro	181	START	1561534930357	1561534930357
USER	RecordedSimulationKakuro	182	START	1561534930358	1561534930358
USER	RecordedSimulationKakuro	184	START	1561534930361	1561534930361
REQUEST	35		kakuro	1561534928862	1561534930361	OK	 
REQUEST	43		kakuro	1561534928941	1561534930378	OK	 
REQUEST	51		kakuro	1561534929021	1561534930380	OK	 
USER	RecordedSimulationKakuro	185	START	1561534930381	1561534930381
USER	RecordedSimulationKakuro	186	START	1561534930381	1561534930381
USER	RecordedSimulationKakuro	187	START	1561534930382	1561534930382
USER	RecordedSimulationKakuro	183	START	1561534930359	1561534930359
REQUEST	13		kakuro	1561534928626	1561534930382	OK	 
REQUEST	59		kakuro	1561534929110	1561534930388	OK	 
REQUEST	67		kakuro	1561534929188	1561534930390	OK	 
USER	RecordedSimulationKakuro	188	START	1561534930391	1561534930391
REQUEST	11		kakuro	1561534928611	1561534930398	OK	 
USER	RecordedSimulationKakuro	189	START	1561534930407	1561534930407
REQUEST	68		kakuro	1561534929191	1561534930427	OK	 
USER	RecordedSimulationKakuro	191	START	1561534930434	1561534930434
USER	RecordedSimulationKakuro	190	START	1561534930434	1561534930434
USER	RecordedSimulationKakuro	192	START	1561534930442	1561534930442
REQUEST	60		kakuro	1561534929111	1561534930456	OK	 
USER	RecordedSimulationKakuro	193	START	1561534930442	1561534930442
REQUEST	44		kakuro	1561534928957	1561534930463	OK	 
USER	RecordedSimulationKakuro	194	START	1561534930467	1561534930467
USER	RecordedSimulationKakuro	195	START	1561534930472	1561534930472
USER	RecordedSimulationKakuro	196	START	1561534930472	1561534930472
REQUEST	37		kakuro	1561534928892	1561534930492	OK	 
USER	RecordedSimulationKakuro	198	START	1561534930516	1561534930516
USER	RecordedSimulationKakuro	199	START	1561534930516	1561534930516
USER	RecordedSimulationKakuro	197	START	1561534930516	1561534930516
USER	RecordedSimulationKakuro	200	START	1561534930524	1561534930524
USER	RecordedSimulationKakuro	201	START	1561534930527	1561534930527
USER	RecordedSimulationKakuro	204	START	1561534930529	1561534930529
USER	RecordedSimulationKakuro	202	START	1561534930532	1561534930532
USER	RecordedSimulationKakuro	205	START	1561534930535	1561534930535
USER	RecordedSimulationKakuro	203	START	1561534930540	1561534930540
USER	RecordedSimulationKakuro	206	START	1561534930540	1561534930540
REQUEST	75		kakuro	1561534929273	1561534930556	OK	 
REQUEST	76		kakuro	1561534929283	1561534930558	OK	 
USER	RecordedSimulationKakuro	207	START	1561534930580	1561534930580
USER	RecordedSimulationKakuro	208	START	1561534930591	1561534930591
USER	RecordedSimulationKakuro	209	START	1561534930601	1561534930601
USER	RecordedSimulationKakuro	210	START	1561534930604	1561534930604
USER	RecordedSimulationKakuro	211	START	1561534930607	1561534930607
USER	RecordedSimulationKakuro	212	START	1561534930611	1561534930611
USER	RecordedSimulationKakuro	213	START	1561534930621	1561534930621
REQUEST	21		kakuro	1561534928704	1561534930634	OK	 
REQUEST	100		kakuro	1561534929543	1561534930563	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: /0.0.0.0:8090
REQUEST	36		kakuro	1561534928876	1561534930656	OK	 
USER	RecordedSimulationKakuro	214	START	1561534930670	1561534930670
USER	RecordedSimulationKakuro	215	START	1561534930684	1561534930684
USER	RecordedSimulationKakuro	216	START	1561534930685	1561534930685
USER	RecordedSimulationKakuro	218	START	1561534930687	1561534930687
USER	RecordedSimulationKakuro	217	START	1561534930687	1561534930687
USER	RecordedSimulationKakuro	219	START	1561534930689	1561534930689
USER	RecordedSimulationKakuro	220	START	1561534930690	1561534930690
REQUEST	92		kakuro	1561534929468	1561534930657	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: /0.0.0.0:8090
USER	RecordedSimulationKakuro	221	START	1561534930931	1561534930931
USER	RecordedSimulationKakuro	222	START	1561534930939	1561534930939
USER	RecordedSimulationKakuro	223	START	1561534930940	1561534930940
USER	RecordedSimulationKakuro	224	START	1561534930941	1561534930941
USER	RecordedSimulationKakuro	225	START	1561534930941	1561534930941
USER	RecordedSimulationKakuro	227	START	1561534930942	1561534930942
USER	RecordedSimulationKakuro	226	START	1561534930942	1561534930942
USER	RecordedSimulationKakuro	228	START	1561534930943	1561534930943
USER	RecordedSimulationKakuro	229	START	1561534930944	1561534930944
USER	RecordedSimulationKakuro	230	START	1561534930945	1561534930945
USER	RecordedSimulationKakuro	231	START	1561534930946	1561534930946
USER	RecordedSimulationKakuro	232	START	1561534930947	1561534930947
USER	RecordedSimulationKakuro	233	START	1561534930948	1561534930948
USER	RecordedSimulationKakuro	234	START	1561534930949	1561534930949
USER	RecordedSimulationKakuro	235	START	1561534930949	1561534930949
USER	RecordedSimulationKakuro	236	START	1561534930950	1561534930950
USER	RecordedSimulationKakuro	237	START	1561534930951	1561534930951
USER	RecordedSimulationKakuro	238	START	1561534930952	1561534930952
USER	RecordedSimulationKakuro	239	START	1561534930954	1561534930954
USER	RecordedSimulationKakuro	240	START	1561534930955	1561534930955
USER	RecordedSimulationKakuro	241	START	1561534930956	1561534930956
USER	RecordedSimulationKakuro	242	START	1561534930957	1561534930957
USER	RecordedSimulationKakuro	243	START	1561534930957	1561534930957
USER	RecordedSimulationKakuro	244	START	1561534930958	1561534930958
USER	RecordedSimulationKakuro	245	START	1561534930959	1561534930959
USER	RecordedSimulationKakuro	246	START	1561534930960	1561534930960
USER	RecordedSimulationKakuro	247	START	1561534930960	1561534930960
USER	RecordedSimulationKakuro	248	START	1561534931066	1561534931066
USER	RecordedSimulationKakuro	249	START	1561534931070	1561534931070
USER	RecordedSimulationKakuro	250	START	1561534931073	1561534931073
USER	RecordedSimulationKakuro	251	START	1561534931075	1561534931075
USER	RecordedSimulationKakuro	253	START	1561534931080	1561534931080
USER	RecordedSimulationKakuro	254	START	1561534931082	1561534931082
USER	RecordedSimulationKakuro	256	START	1561534931084	1561534931084
USER	RecordedSimulationKakuro	255	START	1561534931083	1561534931083
USER	RecordedSimulationKakuro	257	START	1561534931085	1561534931085
USER	RecordedSimulationKakuro	258	START	1561534931087	1561534931087
USER	RecordedSimulationKakuro	259	START	1561534931088	1561534931088
REQUEST	106		kakuro	1561534929600	1561534930625	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: /0.0.0.0:8090
USER	RecordedSimulationKakuro	260	START	1561534931359	1561534931359
USER	RecordedSimulationKakuro	261	START	1561534931362	1561534931362
USER	RecordedSimulationKakuro	262	START	1561534931365	1561534931365
USER	RecordedSimulationKakuro	265	START	1561534931367	1561534931367
USER	RecordedSimulationKakuro	264	START	1561534931367	1561534931367
USER	RecordedSimulationKakuro	263	START	1561534931367	1561534931367
USER	RecordedSimulationKakuro	267	START	1561534931369	1561534931369
USER	RecordedSimulationKakuro	266	START	1561534931369	1561534931369
USER	RecordedSimulationKakuro	268	START	1561534931371	1561534931371
USER	RecordedSimulationKakuro	270	START	1561534931372	1561534931372
USER	RecordedSimulationKakuro	271	START	1561534931372	1561534931372
USER	RecordedSimulationKakuro	269	START	1561534931372	1561534931372
USER	RecordedSimulationKakuro	272	START	1561534931372	1561534931372
USER	RecordedSimulationKakuro	273	START	1561534931373	1561534931373
USER	RecordedSimulationKakuro	274	START	1561534931373	1561534931373
USER	RecordedSimulationKakuro	275	START	1561534931374	1561534931374
USER	RecordedSimulationKakuro	276	START	1561534931382	1561534931382
USER	RecordedSimulationKakuro	277	START	1561534931383	1561534931383
USER	RecordedSimulationKakuro	278	START	1561534931385	1561534931385
USER	RecordedSimulationKakuro	279	START	1561534931391	1561534931391
USER	RecordedSimulationKakuro	280	START	1561534931393	1561534931393
USER	RecordedSimulationKakuro	282	START	1561534931395	1561534931395
USER	RecordedSimulationKakuro	281	START	1561534931395	1561534931395
USER	RecordedSimulationKakuro	283	START	1561534931412	1561534931412
USER	RecordedSimulationKakuro	284	START	1561534931413	1561534931413
USER	RecordedSimulationKakuro	285	START	1561534931414	1561534931414
USER	RecordedSimulationKakuro	286	START	1561534931414	1561534931414
USER	RecordedSimulationKakuro	287	START	1561534931417	1561534931417
USER	RecordedSimulationKakuro	288	START	1561534931418	1561534931418
USER	RecordedSimulationKakuro	289	START	1561534931429	1561534931429
USER	RecordedSimulationKakuro	290	START	1561534931430	1561534931430
USER	RecordedSimulationKakuro	291	START	1561534931432	1561534931432
USER	RecordedSimulationKakuro	292	START	1561534931433	1561534931433
USER	RecordedSimulationKakuro	293	START	1561534931433	1561534931433
USER	RecordedSimulationKakuro	294	START	1561534931434	1561534931434
REQUEST	107		kakuro	1561534929605	1561534930625	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: /0.0.0.0:8090
REQUEST	105		kakuro	1561534929564	1561534930585	KO	i.n.c.AbstractChannel$AnnotatedConnectException: Connection refused: no further information: /0.0.0.0:8090
REQUEST	1		kakuro	1561534928578	1561534931461	OK	 
REQUEST	9		kakuro	1561534928589	1561534931463	OK	 
REQUEST	17		kakuro	1561534928663	1561534931464	OK	 
REQUEST	25		kakuro	1561534928751	1561534931465	OK	 
REQUEST	33		kakuro	1561534928845	1561534931466	OK	 
REQUEST	41		kakuro	1561534928923	1561534931467	OK	 
USER	RecordedSimulationKakuro	252	START	1561534931076	1561534931076
REQUEST	49		kakuro	1561534929001	1561534931469	OK	 
REQUEST	57		kakuro	1561534929081	1561534931471	OK	 
REQUEST	65		kakuro	1561534929161	1561534931472	OK	 
REQUEST	73		kakuro	1561534929251	1561534931474	OK	 
REQUEST	81		kakuro	1561534929363	1561534931477	OK	 
REQUEST	97		kakuro	1561534929509	1561534931478	OK	 
REQUEST	10		kakuro	1561534928594	1561534931515	OK	 
REQUEST	83		kakuro	1561534929371	1561534931515	OK	 
REQUEST	18		kakuro	1561534928673	1561534931516	OK	 
REQUEST	91		kakuro	1561534929465	1561534931516	OK	 
REQUEST	99		kakuro	1561534929539	1561534931517	OK	 
REQUEST	26		kakuro	1561534928752	1561534931517	OK	 
REQUEST	34		kakuro	1561534928861	1561534931518	OK	 
REQUEST	50		kakuro	1561534929016	1561534931531	OK	 
REQUEST	66		kakuro	1561534929173	1561534931533	OK	 
REQUEST	74		kakuro	1561534929252	1561534931535	OK	 
