RUN	computerdatabase.BasicSimulation	basicsimulation	1561388862634	0	3.1.2
USER	Scenario Name	1	START	1561388864107	1561388864107
REQUEST	1		request_1	1561388864167	1561388864237	OK	 
REQUEST	1		request_1 Redirect 1	1561388864256	1561388864291	OK	 
REQUEST	1		request_2	1561388871313	1561388871384	OK	 
REQUEST	1		request_3	1561388873390	1561388873424	OK	 
REQUEST	1		request_4	1561388876418	1561388876450	OK	 
REQUEST	1		request_4 Redirect 1	1561388876451	1561388876483	OK	 
REQUEST	1		request_5	1561388878489	1561388878535	OK	 
REQUEST	1		request_6	1561388879198	1561388879228	OK	 
REQUEST	1		request_7	1561388879860	1561388879920	OK	 
REQUEST	1		request_8	1561388880651	1561388880705	OK	 
REQUEST	1		request_9	1561388885713	1561388885779	OK	 
REQUEST	1		request_10	1561388886793	1561388886828	OK	 
REQUEST	1		request_10 Redirect 1	1561388886838	1561388886871	OK	 
USER	Scenario Name	1	END	1561388864107	1561388886877
